Id,closness_centrality,betweeness_centrality,degree_centrality
0,0.423792,0.03249,1
1,0.413043,0.017621,1
2,0.407143,0.013122,1
3,0.420664,0.02307,1
4,0.402827,0.010664,0.916667
5,0.383838,0.010661,1
6,0.425373,0.019681,1
7,0.401408,0.014563,1
8,0.360759,0.005009,0.916667
9,0.397213,0.011831,0.916667
10,0.381271,0.006908,0.833333
11,0.402827,0.0114,0.833333
12,0.390411,0.010144,0.833333
13,0.420664,0.017291,0.916667
14,0.385135,0.007074,0.833333
15,0.423792,0.020895,1
16,0.423792,0.022213,0.916667
17,0.411552,0.016602,0.916667
18,0.38,0.008493,0.916667
19,0.390411,0.009759,0.916667
20,0.402827,0.023046,0.916667
21,0.397213,0.022127,0.916667
22,0.367742,0.006733,0.916667
23,0.385135,0.007589,0.916667
24,0.423792,0.0207,0.833333
25,0.413043,0.017783,0.916667
26,0.398601,0.017003,0.833333
27,0.38255,0.01066,0.916667
28,0.408602,0.018172,0.75
29,0.4,0.009029,0.916667
30,0.410072,0.015087,0.916667
31,0.378738,0.008418,0.916667
32,0.410072,0.014877,0.916667
33,0.387755,0.007354,0.833333
34,0.376238,0.008026,0.916667
35,0.397213,0.015476,0.916667
36,0.401408,0.013206,0.666667
37,0.394464,0.009131,0.916667
38,0.404255,0.025187,0.916667
39,0.407143,0.010704,0.916667
40,0.398601,0.013983,0.916667
41,0.395833,0.006439,0.833333
42,0.37013,0.00779,0.583333
43,0.395833,0.013595,0.916667
44,0.4,0.014372,0.916667
45,0.397213,0.011443,0.916667
46,0.393103,0.010353,0.916667
47,0.405694,0.015102,0.916667
48,0.410072,0.017789,0.916667
49,0.404255,0.009785,0.916667
50,0.398601,0.014372,0.75
51,0.394464,0.014905,0.916667
52,0.397213,0.009851,0.833333
53,0.411552,0.016561,1
54,0.37377,0.003906,0.833333
55,0.393103,0.011734,0.916667
56,0.381271,0.00954,0.833333
57,0.397213,0.01038,0.833333
58,0.436782,0.028823,0.833333
59,0.397213,0.010866,0.666667
60,0.411552,0.015203,0.916667
61,0.404255,0.020755,0.916667
62,0.391753,0.014198,0.916667
63,0.419118,0.018286,0.75
64,0.417582,0.020365,0.916667
65,0.395833,0.010095,0.916667
66,0.401408,0.0107,0.916667
67,0.401408,0.01181,1
68,0.391753,0.010757,0.916667
69,0.422222,0.024139,0.916667
70,0.404255,0.01519,0.916667
71,0.391753,0.012567,0.833333
72,0.410072,0.016295,0.916667
73,0.385135,0.008117,0.916667
74,0.4,0.01017,0.916667
75,0.397213,0.011681,0.833333
76,0.378738,0.005947,0.916667
77,0.391753,0.011901,0.916667
78,0.366559,0.005523,0.916667
79,0.391753,0.008171,0.916667
80,0.435115,0.029161,0.916667
81,0.405694,0.01151,0.916667
82,0.422222,0.033533,0.916667
83,0.394464,0.006637,0.916667
84,0.385135,0.007433,0.916667
85,0.393103,0.008034,0.75
86,0.410072,0.012378,0.916667
87,0.408602,0.0142,0.916667
88,0.430189,0.020079,1
89,0.404255,0.017157,0.916667
90,0.391753,0.00862,0.75
91,0.416058,0.016539,0.916667
92,0.423792,0.023836,0.916667
93,0.408602,0.013953,0.833333
94,0.391753,0.005317,0.833333
95,0.385135,0.006927,0.833333
96,0.376238,0.00694,0.833333
97,0.395833,0.010385,0.666667
98,0.387755,0.01414,0.916667
99,0.376238,0.009063,0.833333
100,0.402827,0.011781,0.916667
101,0.404255,0.018287,0.833333
102,0.401408,0.015927,0.833333
103,0.390411,0.013536,0.833333
104,0.422222,0.018819,1
105,0.386441,0.004372,0.833333
106,0.426966,0.020498,0.916667
107,0.398601,0.010361,0.833333
108,0.354037,0.003002,0.833333
109,0.391753,0.008957,0.916667
110,0.413043,0.01437,0.916667
111,0.38255,0.007516,0.916667
112,0.395833,0.011582,0.833333
113,0.377483,0.006498,0.833333
114,0.413043,0.010246,0.916667
