Id,closness_centrality,betweeness_centrality,degree_centrality
0,0.568966,0.437635,0.941176
1,0.485294,0.053937,0.529412
2,0.559322,0.143657,0.588235
3,0.464789,0.011909,0.352941
4,0.37931,0.000631,0.176471
5,0.383721,0.029987,0.235294
6,0.383721,0.029987,0.235294
7,0.44,0,0.235294
8,0.515625,0.055927,0.294118
9,0.434211,0.000848,0.117647
10,0.37931,0.000631,0.176471
11,0.366667,0,0.0588235
12,0.370787,0,0.117647
13,0.515625,0.045863,0.294118
14,0.370787,0,0.117647
15,0.370787,0,0.117647
16,0.284483,0,0.117647
17,0.375,0,0.117647
18,0.370787,0,0.117647
19,0.5,0.032475,0.176471
20,0.370787,0,0.117647
21,0.375,0,0.117647
22,0.370787,0,0.117647
23,0.392857,0.017614,0.294118
24,0.375,0.00221,0.176471
25,0.375,0.00384,0.176471
26,0.362637,0,0.117647
27,0.458333,0.022333,0.235294
28,0.452055,0.001795,0.176471
29,0.383721,0.002922,0.235294
30,0.458333,0.014412,0.235294
31,0.540984,0.138276,0.352941
32,0.515625,0.145247,0.705882
33,0.55,0.304075,1
